Lat,Lon,Title,rank,Country,2021 pop.,2020 pop.,Growth,popDiff,popChg
-5.056395,12.3211749,Cabinda,686,Angola,819452,777697,0.0537,41755,grew
5.5324032,7.4924165,Umuahia,687,Nigeria,816983,773822,0.0558,43161,grew
32.127372,114.0676596,Xinyang,688,China,816967,797369,0.0246,19598,grew
32.9139151,119.8476035,Xinghua,689,China,815780,791297,0.0309,24483,grew
54.9738474,-1.6131572,Newcastle upon Tyne,690,United Kingdom,813807,809481,0.0053,4326,grew
37.85862,113.5730276,Yangquan,691,China,813696,794262,0.0245,19434,grew
40.6403167,22.9352716,Thessaloniki,692,Greece,812964,812166,0.001,798,grew
26.423568,111.6081495,Yongzhou,693,China,809415,781940,0.0351,27475,grew
44.4938203,11.3426327,Bologna,694,Italy,808931,805986,0.0037,2945,grew
37.5493473,45.0682863,Orumiyeh,695,Iran,808149,793044,0.019,15105,grew
30.919414,113.9516901,Xiaogan,696,China,806258,783483,0.0291,22775,grew
35.2477266,115.4464761,Heze,697,China,804759,795246,0.012,9513,grew
10.1898503,-64.7087416,Barcelona-Puerto La Cruz,698,Venezuela,804488,793641,0.0137,10847,grew
11.8395375,13.1536214,Maiduguri,699,Nigeria,802988,786485,0.021,16503,grew
41.7238743,86.173541,Kuerle,700,China,801993,761329,0.0534,40664,grew
37.6452283,138.7669125,Niigata,701,Japan,801982,804298,-0.0029,2316,declined
39.7666813,30.5255947,Eskisehir,702,Turkey,801612,783669,0.0229,17943,grew
9.740204,76.3324672,Cherthala,703,India,801264,764135,0.0486,37129,grew
28.9268429,118.8759775,Quzhou,704,China,798191,757655,0.0535,40536,grew
29.7296617,120.1805427,Zhuji,705,China,796974,777536,0.025,19438,grew
